kd,p_AS_rank,p_EU_rank,p_NA_rank,p_currentmmr,p_currentrank,p_headshotacc,p_id,p_level,p_name,p_platform,p_skillrating,p_user,position,verified
130,0,0,20,5204,20,39130000,22ed1130-f61b-4175-a92e-5be031f380df,127,JOOOHHHNNN.,uplay,8977,22ed1130-f61b-4175-a92e-5be031f380df,68,0
137,0,0,20,5204,20,37800000,37ffa681-c198-4bc2-881a-4a0f87546a01,282,N0v4kz.DS,uplay,9543,37ffa681-c198-4bc2-881a-4a0f87546a01,69,0
139,14,17,20,5188,20,46270000,01808117-a955-43fd-81f7-4103d74c185e,241,Panbazou,uplay,9676,01808117-a955-43fd-81f7-4103d74c185e,70,0
138,0,0,20,5186,20,39410000,025673c8-9e66-4e30-a6b1-20c9136dad10,260,Zeppd.,uplay,9880,025673c8-9e66-4e30-a6b1-20c9136dad10,71,0
284,0,15,20,5185,20,46200000,5fdd6ea5-cfea-4de2-a4b2-4f10d4845321,157,Vemzo,uplay,10433,5fdd6ea5-cfea-4de2-a4b2-4f10d4845321,72,0
169,0,0,20,5174,20,44630000,3fcbb7df-2055-4db0-836d-f36634c48a92,252,Spot,uplay,9829,3fcbb7df-2055-4db0-836d-f36634c48a92,73,0
187,0,18,20,5172,20,38790000,d322c215-b3bf-480f-94e5-799ca55225cf,189,notSkarr.SYR,uplay,9888,d322c215-b3bf-480f-94e5-799ca55225cf,74,0
167,0,0,20,5161,20,51560000,629cc14e-2cfa-4031-bbe9-2b1df992d63b,390,Modigga-DG,uplay,9974,629cc14e-2cfa-4031-bbe9-2b1df992d63b,75,1
134,0,0,20,5149,20,54650000,496955e7-df09-453e-bdf1-875fc0b21814,353,MuziMuzi.,uplay,9827,496955e7-df09-453e-bdf1-875fc0b21814,76,0
152,0,3,20,5142,20,42980000,c96883a7-2e91-41f8-a5f7-ce08aa0381eb,241,Hunter.SANTOS,uplay,9814,c96883a7-2e91-41f8-a5f7-ce08aa0381eb,77,0
147,18,18,20,5138,20,33930000,f0593060-071d-4aa0-b9f8-9d389fd24471,203,King.Kourosh,uplay,9709,f0593060-071d-4aa0-b9f8-9d389fd24471,78,0
253,19,0,20,5132,20,39640000,5b8bcf6e-06d4-498e-a78a-c414247847a7,193,Fakyall.-,uplay,10660,5b8bcf6e-06d4-498e-a78a-c414247847a7,79,0
158,0,0,20,5131,20,45270000,a461d468-1415-4fb1-b56d-575ef85addf1,236,Hale.Draak,uplay,9964,a461d468-1415-4fb1-b56d-575ef85addf1,80,0
122,0,0,20,5129,20,41020000,6b574c5d-7d89-43ca-ab2f-f4216f8f587d,275,Yojii.2F,uplay,9500,6b574c5d-7d89-43ca-ab2f-f4216f8f587d,81,0
140,0,0,20,5119,20,44550000,f6a22765-1497-4960-9dbd-5a05ec8fa1d5,182,Filthy.DC,uplay,9630,f6a22765-1497-4960-9dbd-5a05ec8fa1d5,82,0
164,0,0,20,5118,20,49970000,bf0fbb58-5931-4d8a-96ab-bb25a9924307,401,hornetao.,uplay,9763,bf0fbb58-5931-4d8a-96ab-bb25a9924307,83,0
160,0,0,20,5117,20,43800000,b8e0c70d-5f2f-4bbc-96ea-f74838186732,136,TrulyUnlucky.,uplay,10775,b8e0c70d-5f2f-4bbc-96ea-f74838186732,84,0
133,0,0,20,5110,20,57570000,88f2addd-5628-4906-ad58-650343d40c68,377,Yuri.DG,uplay,9670,88f2addd-5628-4906-ad58-650343d40c68,85,0
110,0,17,20,5110,20,41870000,f163fcc0-2b7b-4362-9959-69aaa5fe8fef,234,Nexus.....,uplay,9644,f163fcc0-2b7b-4362-9959-69aaa5fe8fef,86,0
